Hochschule für angewandte Wissenschaften Kempten;http://www.hochschule-kempten.de;TYPO3
Hochschule Heilbronn;http://www.hs-heilbronn.de;
Hochschule der Bildenden Künste Saar (Saarbrücken);http://www.hbksaar.de;TYPO3;4.7
Merz Akademie (Stuttgart);http://www.merz-akademie.de;Unbekannt
FOM Hochschule (Essen);http://www.fom.de;TYPO3;6.2
Fachhochschule für Wirtschaft und Technik Vechta/Diepholz/Oldenburg;http://www.fhwt.de;TYPO3
International Psychoanalytic University Berlin;http://www.ipu-berlin.de;Unbekannt
Hochschule für Musik Carl Maria von Weber Dresden;http://www.hfmdd.de;TYPO3;4.5
Hochschule für Musik und Darstellende Kunst Mannheim;http://www.muho-mannheim.de;Unbekannt
Cologne Business School (Köln);http://www.cbs.de;TYPO3
Universität Osnabrück;http://www.uni-osnabrueck.de;TYPO3;4.7
Hochschule für Musik und Theater Rostock;http://www.hmt-rostock.de;TYPO3
Touro College Berlin;http://www.touroberlin.com;Unbekannt
Hochschule Ostwestfalen-Lippe (Lemgo);http://www.hs-owl.de;TYPO3
Provadis School of International Management and Technology (Frankfurt am Main);http://www.provadis-hochschule.de;TYPO3
Hochschule für Schauspielkunst „Ernst Busch“ Berlin;http://www.hfs-berlin.de;TYPO3
Hochschule für Technik Stuttgart;http://www.hft-stuttgart.de;
WHU – Otto Beisheim School of Management (Vallendar);http://www.whu.edu;TYPO3
Wissenschaftliche Hochschule Lahr;http://www.allensbach-hochschule.de;Unbekannt
Alanus Hochschule für Kunst und Gesellschaft (Alfter);http://www.alanus.edu;TYPO3
Katholische Hochschule Freiburg;http://www.kh-freiburg.de;TYPO3;4.5
Pädagogische Hochschule Heidelberg;http://www.ph-heidelberg.de;TYPO3
Hochschule Wismar;http://www.hs-wismar.de;TYPO3;4.5
RWTH Aachen;http://www.rwth-aachen.de;Unbekannt
Humboldt-Universität zu Berlin;http://www.hu-berlin.de;Plone
Hochschule für Musik Detmold;http://www.hfm-detmold.de;TYPO3
Universität Konstanz;http://www.uni-konstanz.de;TYPO3
Hochschule Fulda;http://www.hs-fulda.de;TYPO3
Karlshochschule International University (Karlsruhe);http://www.karlshochschule.de/;TYPO3;6.1
Hochschule Ansbach;http://www.hs-ansbach.de;TYPO3;6.1
Evangelische Hochschule Ludwigsburg;http://www.eh-ludwigsburg.de;TYPO3
accadis Hochschule Bad Homburg;http://www.accadis.com;Unbekannt
Hochschule für Polizei Villingen-Schwenningen;http://www.hfpol-bw.de;Unbekannt
Ruprecht-Karls-Universität Heidelberg;http://www.uni-heidelberg.de;Imperia;9.2.11
Robert-Schumann-Hochschule Düsseldorf;http://www.rsh-duesseldorf.de;TYPO3
Universität Paderborn;http://www.uni-paderborn.de;TYPO3
Hochschule Furtwangen;http://www.hs-furtwangen.de;TYPO3
Hochschule Magdeburg-Stendal;http://www.hs-magdeburg.de;TYPO3
Hochschule für Technik und Wirtschaft Berlin;http://www.htw-berlin.de;TYPO3
Hochschule für angewandtes Management (Erding);http://www.fham.de;TYPO3
Universität Hamburg;http://www.uni-hamburg.de;
Hochschule Koblenz;http://www.hs-koblenz.de;TYPO3
Hochschule der Deutschen Bundesbank (Hachenburg);http://www.hs-bundesbank.de;Unbekannt
Fachhochschule für Rechtspflege Nordrhein-Westfalen (Bad Münstereifel);http://www.fhr.nrw.de;Infopark CMS Fiona;6.8.0
Hochschule Weserbergland (Hameln);http://www.hsw-hameln.de;TYPO3
Hochschule der Wirtschaft für Management Mannheim;http://www.hdwm.de;TYPO3
Fachhochschule Münster;http://www.fh-muenster.de;Unbekannt
EBS Universität für Wirtschaft und Recht (Wiesbaden, Oestrich-Winkel);http://www.ebs.edu;
Fachhochschule Nordhausen;http://www.hs-nordhausen.de;TYPO3
Johannes Gutenberg-Universität Mainz;http://www.uni-mainz.de;Unbekannt
Hochschule für Technik und Wirtschaft Dresden;http://www.htw-dresden.de;TYPO3
Hochschule Hannover;http://www.hs-hannover.de;TYPO3;4.7
Akademie für Darstellende Kunst Baden-Württemberg (Ludwigsburg);http://www.adk-bw.de;Unbekannt
Hochschule für Kunsttherapie Nürtingen;http://www.hkt-nuertingen.de;TYPO3;4.5
Hochschule für Musik und Theater „Felix Mendelssohn Bartholdy“ Leipzig;http://www.hmt-leipzig.de;Unbekannt
Hochschule für angewandte Wissenschaften Neu-Ulm;http://www.hs-neu-ulm.de;TYPO3
Pädagogische Hochschule Karlsruhe;http://www.ph-karlsruhe.de;TYPO3;4.7
Rheinische Friedrich-Wilhelms-Universität Bonn;http://www.uni-bonn.de;Plone
Fachhochschule für Sport &amp; Management Potsdam;http://sportfh-esab.eu;TYPO3
International Business School of Service Management (Hamburg);http://www.iss-hamburg.de;Unbekannt
Fachhochschule Flensburg;http://www.fh-flensburg.de;Drupal;8
Hochschule Weihenstephan-Triesdorf;http://www.hswt.de;TYPO3
SRH Hochschule Heidelberg;http://www.hochschule-heidelberg.de;TYPO3
Technische Universität Braunschweig;http://tu-braunschweig.de;Infopark CMS Fiona;6.10.2
Bergische Universität Wuppertal;http://www.uni-wuppertal.de;TYPO3
Universität Potsdam;http://www.uni-potsdam.de;TYPO3
Hochschule für Politik München;http://www.hfpm.de;TYPO3
Mathias Hochschule Rheine;http://www.mhrheine.de;
Hochschule Biberach;http://www.hochschule-biberach.de;Unbekannt
Evangelische Hochschule Nürnberg;http://www.evhn.de;Unbekannt
Fachhochschule Dortmund;http://www.fh-dortmund.de;Unbekannt
Katholische Universität Eichstätt-Ingolstadt;http://www.ku.de;TYPO3
Westfälische Hochschule Gelsenkirchen Bocholt Recklinghausen;http://www.w-hs.de;TYPO3
Medizinische Hochschule Hannover;http://www.mh-hannover.de;TYPO3;4.5
German open Business School (Berlin);http://www.go-bs.de;TYPO3;4.5
Hochschule für öffentliche Verwaltung und Finanzen Ludwigsburg;http://www.hs-ludwigsburg.de;TYPO3
Alice Salomon Hochschule Berlin;http://www.ash-berlin.eu;TYPO3
BEST-Sabel-Hochschule Berlin;http://www.bsb-hochschule.de;Unbekannt
Universität Regensburg;http://www.uni-regensburg.de;Imperia;8.6.0.26
Katholische Hochschule für Sozialwesen Berlin;http://www.khsb-berlin.de;TYPO3;4.5
Westsächsische Hochschule Zwickau;http://www.fh-zwickau.de;TYPO3;4.2
Hochschule Osnabrück;http://www.hs-osnabrueck.de;TYPO3
Philosophisch-Theologische Hochschule Sankt Georgen (Frankfurt am Main);http://www.sankt-georgen.de;Unbekannt
Ostbayerische Technische Hochschule Regensburg;http://www.oth-regensburg.de;TYPO3;6.2
AKAD Bildungsgesellschaft (Stuttgart);http://www.akad.de;TYPO3;4.7
Universität Stuttgart;http://www.uni-stuttgart.de;Unbekannt
Musikhochschule Lübeck;http://www.mh-luebeck.de/;TYPO3;4.7
Private Fachhochschule Göttingen;http://www.pfh.de;TYPO3
Otto-von-Guericke-Universität Magdeburg;http://www.ovgu.de;Unbekannt
Hochschule der Medien (Stuttgart);http://www.hdm-stuttgart.de;Unbekannt
Macromedia Hochschule für Medien und Kommunikation (München);http://www.hochschule-macromedia.de;Unbekannt
Universität Mannheim;http://www.uni-mannheim.de;
Fachhochschule Bingen;http://www.fh-bingen.de;Unbekannt
Helmut-Schmidt-Universität (Hamburg);http://www.hsu-hh.de;
Business and Information Technology School (Iserlohn, Hamburg, Berlin);http://www.bits-hochschule.de;Unbekannt
Hochschule Emden/Leer;http://www.hs-emden-leer.de;TYPO3;4.5
Hochschule Zittau/Görlitz;http://www.hszg.de;Unbekannt
Evangelische Hochschule für Kirchenmusik Tübingen;http://www.kirchenmusikhochschule.de;TYPO3;4.5
Fachhochschule Kaiserslautern;http://www.hs-kl.de;TYPO3
Pädagogische Hochschule Weingarten;http://www.ph-weingarten.de;Unbekannt
Hochschule für Öffentliche Verwaltung Bremen;http://www.hfoev.bremen.de;Unbekannt
Fachhochschule Südwestfalen (Iserlohn);http://fh-swf.de;Unbekannt
Burg Giebichenstein Kunsthochschule Halle;http://www.burg-halle.de;TYPO3
Hochschule Worms;http://www.hs-worms.de;TYPO3
Filmakademie Baden-Württemberg (Ludwigsburg);http://www.filmakademie.de;TYPO3
Technische Hochschule Ingolstadt;http://www.thi.de;TYPO3
Hochschule Pforzheim;http://www.hs-pforzheim.de;TYPO3
Hochschule für Forstwirtschaft Rottenburg;http://www.hs-rottenburg.net;TYPO3
Hochschule für Telekommunikation Leipzig;http://www.hft-leipzig.de;TYPO3;4.5
Hochschule der Gesetzlichen Unfallversicherung (Bad Hersfeld);http://www.dguv.de;Unbekannt
Heinrich-Heine-Universität Düsseldorf;http://www.hhu.de;TYPO3;6.2
Hochschule Mainz;http://www.hs-mainz.de;TYPO3;4.5
CVJM-Hochschule (Kassel);http://www.cvjm-hochschule.de;TYPO3
Europa-Universität Flensburg;http://www.uni-flensburg.de;TYPO3
Dresden International University;http://www.di-uni.de;TYPO3;4.7
Hochschule für Philosophie München;http://www.hfph.de;Plone
Theologische Hochschule Friedensau;http://www.thh-friedensau.de;
Fachhochschule für öffentliche Verwaltung und Rechtspflege Meißen;http://www.fhsv.sachsen.de;TYPO3;4.7
Evangelische Hochschule für Kirchenmusik Halle;http://www.ehk-halle.de;TYPO3;4.5
Hochschule für Bildende Künste Dresden;http://www.hfbk-dresden.de;TYPO3;4.5
Norddeutsche Hochschule für Rechtspflege (Hildesheim);http://www.fhr-nord.niedersachsen.de;TYPO3;4.4
Technische Fachhochschule Georg Agricola (Bochum);http://www.tfh-bochum.de;TYPO3;4.5
